v_x,v_y,yaw_rate(psi_dot),pitch(theta),roll(phi),steering(delta)
2.343711914,0.084829764,2.29125,-1.193466544,1.673579454,0.173761468
2.37134719,0.086605587,2.9275,-1.186971307,1.726232886,0.227155963
2.396595681,0.095354322,3.57,-1.138062716,1.789234638,0.227155963
2.424408095,0.103985648,4.4275,-1.094355941,1.843160391,0.227155963
2.419911795,0.097374373,4.5975,-1.100500464,1.883075595,0.23233945
2.431640231,0.11530175,5.51625,-0.988660574,1.926872849,0.248348624
2.575636813,-0.049811915,6.2,-1.169204116,1.756134391,0.253761468
2.568954248,-0.044467957,6.75625,-1.139213324,1.783737063,0.253761468
2.559986839,-0.050189536,7.41125,-1.184580088,1.784625292,0.253761468
2.55618918,-0.037058374,8.145,-1.128870487,1.838239551,0.253761468
2.543228412,-0.024495224,9.10125,-1.098074198,1.958411455,0.253761468
2.53372296,-0.034045471,9.815,-1.104555488,2.013297558,0.259266055
2.582126434,-0.036934732,10.66125,-1.13916564,2.030073404,0.270458716
2.571223105,-0.04165873,11.7525,-1.093050957,1.989135265,0.270458716
2.567498852,-0.041314546,12.105,-1.058394909,1.968254447,0.270458716
2.533679329,-0.019990823,13.215,-1.089013934,1.988844037,0.156100917
2.517035228,-0.038515762,11.8975,-1.130122304,2.013149977,0.156100917
2.504867192,-0.051864293,11.3,-1.169417143,1.954474092,0.156100917
2.487480752,-0.059962638,10.9575,-1.122462511,1.850494623,0.28766055
2.491218966,-0.05224954,11.645,-1.03415978,1.823521495,0.293577982
2.472540227,-0.038456185,12.29125,-1.012928367,1.830087185,0.317522936
2.477106488,-0.06374335,12.51375,-1.154363632,1.856844425,0.317522936
2.503179223,-0.053399174,13.56625,-1.068620682,1.850946307,0.323761468
2.471480619,-0.065412644,13.82,-1.088595867,1.820439458,0.323761468
2.48445014,-0.061003844,14.56875,-1.069834948,1.76648891,0.323761468
2.458508631,-0.059458011,15.10625,-1.019661903,1.695336103,0.323761468
2.457171427,-0.069090021,15.525,-1.035802484,1.653876066,0.323761468
2.459663993,-0.056470168,16.30625,-0.912470222,1.606276751,0.253761468
2.449709242,-0.074857019,15.8025,-0.945889354,1.501386642,0.253761468
2.456114375,-0.075587245,14.78625,-0.890853345,1.380870342,0.201972477
2.45609311,-0.07389548,14.45875,-0.879321992,1.31377399,0.178302752
2.446575549,-0.07979574,13.655,-0.795053005,1.226494074,0.178302752
2.464143651,-0.068399479,13.1925,-0.794971168,1.189991474,0.222018349
2.451988004,-0.079617297,12.7525,-0.787928939,1.111988306,0.222018349
2.468433733,-0.078625239,12.92625,-0.793643832,1.052113891,0.164770642
2.457827984,-0.079690075,12.0525,-0.769174278,0.965894461,0.07
2.456957534,-0.077065912,11.5925,-0.761238813,0.901475191,-9.17E-05
2.454773232,-0.084010269,10.8125,-0.772460103,0.840668142,-9.17E-05
2.428415944,-0.084240861,9.98125,-0.759983897,0.821154416,-9.17E-05
2.399875302,-0.082709906,9.06375,-0.758564472,0.798316836,-9.17E-05
2.365282189,-0.099415635,7.9425,-0.733675182,0.783560812,-9.17E-05
2.33750451,-0.088159453,7.24875,-0.687218189,0.802003026,-9.17E-05
2.342084574,-0.093653015,6.5025,-0.65529269,0.802568138,-9.17E-05
2.324134217,-0.101466501,5.43,-0.593458414,0.775625825,-9.17E-05
2.299930764,-0.095556529,5.0975,-0.580358863,0.728691816,-9.17E-05
2.27315242,-0.107801787,4.445,-0.562809229,0.679449081,-9.17E-05
2.2503163,-0.075920617,3.77875,-0.551063895,0.736639559,-9.17E-05
2.235452332,-0.077916135,3.42,-0.53179431,0.794100821,-9.17E-05
2.207212755,-0.078574823,2.62,-0.550003231,0.878329456,-9.17E-05
2.16331816,-0.080543035,2.185,-0.534414649,0.892579019,-9.17E-05
2.130550493,-0.090447548,1.54125,-0.50710243,0.854598999,-9.17E-05
2.127816804,-0.085268,0.975,-0.466832787,0.829363406,-9.17E-05
2.113733354,-0.080844195,0.2325,-0.507959127,0.832175434,-9.17E-05
2.061557749,-0.081758193,-0.15875,-0.517284751,0.85513562,-9.17E-05
2.033728276,-0.067705528,0.09375,-0.500146031,0.923883736,-9.17E-05
2.012567327,-0.074961711,-0.16,-0.462621093,1.00661695,-9.17E-05
2.013525254,-0.082872495,-0.10125,-0.4417983,1.010086417,-9.17E-05
1.980486814,-0.086721154,0.0025,-0.423885673,0.960194647,-9.17E-05
1.931902713,-0.084252064,-0.13,-0.434439301,0.934673131,-9.17E-05
1.905328193,-0.072418357,0.175,-0.432418317,0.944347739,-9.17E-05
1.874174951,-0.072580248,-0.4075,-0.347812563,1.071058512,-9.17E-05
1.8560478,-0.060725264,0,-0.347607106,1.170323133,-9.17E-05
1.825025039,-0.0660335,-0.07625,-0.312907577,1.177767158,-9.17E-05
1.793972032,-0.057636244,-0.06625,-0.285441339,1.198939443,-9.17E-05
1.767270282,-0.057314241,0.01,-0.278818101,1.208867908,-9.17E-05
1.749562337,-0.053326242,-0.04125,-0.258887768,1.224762797,-9.17E-05
1.738789414,-0.052115997,0.03125,-0.244338155,1.234302521,-9.17E-05
1.720625745,-0.050631975,-0.185,-0.222960263,1.265339851,-9.17E-05
1.702043796,-0.041900381,0.0625,-0.21200256,1.317699909,-9.17E-05
1.686646777,-0.043458111,-0.0075,-0.211793542,1.345460296,-9.17E-05
1.667542593,-0.040684544,-0.085,-0.177478492,1.367389679,-9.17E-05
1.667553383,-0.056140382,0.01,-0.213233143,1.324396968,-9.17E-05
1.655829499,-0.058576773,-0.1225,-0.205035552,1.315427542,-9.17E-05
1.640802561,-0.050185681,0.00125,-0.159912392,1.308962941,-9.17E-05
1.621034643,-0.044894326,0.035,-0.14199771,1.309702873,-9.17E-05
1.615306267,-0.042544442,-0.15625,-0.142099708,1.359077454,-9.17E-05
1.615228808,-0.03805293,0.09625,-0.111434773,1.37686336,-9.17E-05
1.656375849,-0.057937249,-0.13375,-0.153313547,1.339870453,-9.17E-05
1.678258918,-0.050468347,0.05125,-0.158347204,1.324918985,-9.17E-05
1.706002164,-0.045234261,0.15625,-0.120810725,1.322939873,-9.17E-05
1.738956781,-0.043422537,-0.02625,-0.110986337,1.343116879,-9.17E-05
1.786981915,-0.046167135,-0.04125,-0.131641373,1.315088272,-9.17E-05
1.794943174,-0.046507813,-0.05625,-0.129123688,1.274561405,-0.004449541
1.791465627,-0.032208038,-0.00875,-0.122188844,1.295471311,-0.017798165
1.775613836,-0.02933207,-0.39,-0.091663018,1.31250155,-0.017798165
1.740019994,-0.038654132,-1.12125,-0.100957133,1.345714808,-0.017798165
1.72832611,-0.030203108,-0.66,-0.124336131,1.379769206,-0.019311927
1.714222734,-0.03543853,-1.04375,-0.099331878,1.431676626,-0.019311927
1.708252024,-0.036786066,-0.99375,-0.034797873,1.45952785,-0.019311927
1.691890614,-0.029940982,-0.7525,-0.075602993,1.437226534,-0.048853211
1.69089286,-0.033808428,-1.315,-0.012657774,1.403760672,-0.28766055
1.694758981,-0.050056578,-1.85375,-0.115844637,1.337431431,-0.29353211
1.690467381,-0.045939017,-1.9975,-0.091304764,1.303873777,-0.29940367
1.665583798,-0.042249822,-2.735,-0.102650121,1.327661753,-0.29940367
1.653286599,-0.030816413,-2.73625,-0.085976198,1.367166281,-0.29940367
1.641719974,-0.044925862,-3.58625,-0.108503357,1.351764798,-0.29940367
1.634484135,-0.037268966,-3.6975,-0.100917995,1.296710491,-0.375
1.650219096,-0.047594019,-4.2175,-0.19090651,1.244751334,-0.481651376
1.634447996,-0.05071669,-4.80625,-0.219942585,1.255487323,-0.481651376
1.609434358,-0.042165446,-5.035,-0.266852468,1.207584023,-0.481651376
1.58278476,-0.043124545,-5.6875,-0.305764884,1.176224351,-0.481651376
1.55135938,-0.029906659,-6.08,-0.354811639,1.178137064,-0.481651376
1.541397433,-0.046530639,-6.72375,-0.472297281,1.148148775,-0.481651376
1.513410094,-0.043445541,-7.17375,-0.483184606,1.102556586,-0.481651376
1.467648013,-0.026195268,-7.22,-0.548644304,1.094073653,-0.481651376
1.438886169,-0.030832793,-7.79875,-0.574231386,1.096781969,-0.481651376
